plasmid	contigs
GT_5,GT_2	28:1,63:1,73:1,87:1,115:1,154:1,197:1,201:1,265:1,285:1,336:1,344:1,353:1,358:1,415:1,423:1,428:1,430:1,446:1,457:1,489:1,513:1,18:1,55:1,61:1,64:1,74:1,84:1,95:1,117:1,128:1,152:1,166:1,167:1,199:1,210:1,229:1,235:1,242:1,322:1,339:1,345:1,363:1,390:1,396:1,443:1,470:1,486:1,79:1,116:1,207:1,237:1,241:1,261:1,310:1,326:1,349:1,386:1,404:1,491:1,497:1,507:1
GT_3	20:1,30:1,98:1,99:1,122:1,136:1,165:1,229:1,234:1,242:1,265:1,322:1,339:1,390:1,430:1,443:1,446:1,470:1,486:1,489:1,513:1,79:1,507:1
GT_6	29:1,82:1,125:1
GT_4	33:1,52:1,160:1,189:1,450:1,255:1,401:1,510:1
GT_7	68:1
GT_8	71:1
GT_9	80:1
GT_10	92:1
GT_11	93:1
