plasmid	contigs
GP_0	5:1,10:1,13:1,28:1,30:1,39:1,46:1,48:1,49:1,58:1,65:1,71:1,77:1,78:1,79:1,83:1,85:1,87:1,88:1,89:1,90:1,92:1,94:1,95:1,96:1,98:1,104:1,105:1,112:1,113:1,116:1,120:1,121:1,124:1,125:1,126:1,128:1,129:1,132:1,133:1,135:1,137:1,139:1,140:1,141:1,142:1,143:1,145:1,146:1,147:1,151:1,152:1,153:1,154:1,155:1,156:1,158:1,162:1,163:1,168:1,173:1,174:1,175:1,176:1,177:1,178:1,181:1,182:1,191:1,193:1,196:1,198:1,199:1,201:1,202:1,203:1,214:1,217:1,225:1,235:1,236:1,238:1,241:1,247:1,249:1,250:1,253:1,254:1,259:1,262:1,263:1,270:1
GP_1	115:1,148:1,165:1,234:1,256:1,264:1
GP_unb_1	184:1
GP_unb_2	185:1
GP_unb_3	186:1
GP_unb_4	188:1
GP_unb_5	194:1
GP_unb_6	197:1
GP_unb_7	200:1
GP_unb_8	208:1
GP_unb_9	210:1
GP_unb_10	211:1
GP_unb_11	212:1
GP_unb_12	213:1
GP_unb_13	219:1
GP_unb_14	222:1
GP_unb_15	229:1
GP_unb_16	232:1
GP_unb_17	233:1
GP_unb_18	237:1
GP_unb_19	240:1
GP_unb_20	242:1
GP_unb_21	255:1
GP_unb_22	257:1
GP_unb_23	261:1
GP_unb_24	271:1
