Number of rows:	7984
Number of rows with NA:	491
sample:	0 rows with NA
assembler:	0 rows with NA
classification:	0 rows with NA
binning:	0 rows with NA
unmerged.nb_bins:	149 rows with NA
unmerged.nb_ctgs:	149 rows with NA
unmerged.len_ctgs:	149 rows with NA
unmerged.n.Dissimilarity:	483 rows with NA
unmerged.n.Extra_ctgs:	483 rows with NA
unmerged.n.Missing_ctgs:	483 rows with NA
unmerged.n.Cuts:	483 rows with NA
unmerged.n.Joins:	483 rows with NA
unmerged.u.Dissimilarity:	483 rows with NA
unmerged.u.Extra_ctgs:	483 rows with NA
unmerged.u.Missing_ctgs:	483 rows with NA
unmerged.u.Cuts:	483 rows with NA
unmerged.u.Joins:	483 rows with NA
unmerged.w.Precision:	149 rows with NA
unmerged.w.Recall:	149 rows with NA
unmerged.w.F1:	149 rows with NA
unmerged.u.Precision:	149 rows with NA
unmerged.u.Recall:	149 rows with NA
unmerged.u.F1:	149 rows with NA
merged.nb_bins:	149 rows with NA
merged.nb_ctgs:	149 rows with NA
merged.len_ctgs:	149 rows with NA
merged.n.Dissimilarity:	248 rows with NA
merged.n.Extra_ctgs:	248 rows with NA
merged.n.Missing_ctgs:	248 rows with NA
merged.n.Cuts:	248 rows with NA
merged.n.Joins:	248 rows with NA
merged.u.Dissimilarity:	248 rows with NA
merged.u.Extra_ctgs:	248 rows with NA
merged.u.Missing_ctgs:	248 rows with NA
merged.u.Cuts:	248 rows with NA
merged.u.Joins:	248 rows with NA
merged.w.Precision:	149 rows with NA
merged.w.Recall:	149 rows with NA
merged.w.F1:	149 rows with NA
merged.u.Precision:	149 rows with NA
merged.u.Recall:	149 rows with NA
merged.u.F1:	149 rows with NA
