plasmid	contigs
GP_Isolated_123	Contig:378:9.11728:1
GP_Isolated_124	Contig:384:6.97323:1
GP_Isolated_125	Contig:385:36.0076:1
GP_Isolated_126	Contig:386:12.7955:1
GP_Isolated_127	Contig:389:38.3284:1
GP_Isolated_128	Contig:390:32.1779:1
GP_Isolated_129	Contig:393:33.3207:1
GP_Isolated_130	Contig:396:25.94:1
GP_Isolated_131	Contig:399:24.225:1
GP_5	Contig:3:246.889:Circ:1
GP_Isolated_132	Contig:401:15.1389:1
GP_Isolated_133	Contig:402:31.2629:1
GP_Isolated_134	Contig:404:5.92638:1
GP_Isolated_135	Contig:405:39.6251:1
GP_Isolated_136	Contig:414:18.261:1
GP_Isolated_137	Contig:416:11.8585:1
GP_Isolated_138	Contig:417:24.1739:1
GP_Isolated_139	Contig:41:30.2492:1
GP_Isolated_140	Contig:420:35.6256:1
GP_unb_3	Contig:421:32.1895:1
GP_Isolated_141	Contig:424:7.20873:1
GP_Isolated_142	Contig:426:39.1646:1
GP_Isolated_143	Contig:427:43.0173:1
GP_Isolated_144	Contig:428:18.0977:1
GP_Isolated_145	Contig:432:33.0206:1
GP_Isolated_146	Contig:433:37.6968:1
GP_Isolated_147	Contig:435:11.2709:1
GP_Isolated_148	Contig:439:16.7887:1
GP_Isolated_149	Contig:43:9.16402:1
GP_Isolated_150	Contig:442:13.1245:1
GP_Isolated_151	Contig:445:14.2592:1
GP_Isolated_152	Contig:447:33.9999:1
GP_Isolated_153	Contig:44:33.6005:1
GP_Isolated_154	Contig:451:22.4043:1
GP_Isolated_155	Contig:459:34.6845:1
GP_Isolated_156	Contig:45:12.9:1
GP_Isolated_157	Contig:465:29.2826:1
GP_Isolated_158	Contig:466:29.4898:1
GP_Isolated_159	Contig:467:10.586:1
GP_Isolated_160	Contig:468:34.1115:1
GP_Isolated_161	Contig:46:30.2816:1
GP_Isolated_162	Contig:470:7.82087:1
GP_Isolated_163	Contig:476:6.95852:1
GP_Isolated_164	Contig:477:32.2084:1
GP_Isolated_165	Contig:478:13.5797:1
GP_Isolated_166	Contig:480:33.3871:1
GP_Isolated_167	Contig:482:17.7131:1
GP_Isolated_168	Contig:484:35.0747:1
GP_Isolated_169	Contig:493:33.2976:1
GP_Isolated_170	Contig:495:12.2042:1
GP_Isolated_171	Contig:499:12.4204:1
GP_Isolated_172	Contig:49:11.1486:1
GP_6	Contig:4:251.112:Circ:1
GP_Isolated_173	Contig:501:13.9389:1
GP_unb_4	Contig:503:22.7339:1
GP_Isolated_174	Contig:505:36.9759:1
GP_Isolated_175	Contig:509:20.9234:1
GP_Isolated_176	Contig:50:32.0422:1
GP_Isolated_177	Contig:514:19.5036:1
GP_Isolated_178	Contig:516:27.5118:1
GP_Isolated_179	Contig:518:36.5168:1
GP_Isolated_180	Contig:519:37.0739:1
GP_Isolated_181	Contig:51:28.0255:1
GP_Isolated_182	Contig:520:40.71:1
GP_Isolated_183	Contig:522:17.794:1
GP_Isolated_184	Contig:524:37.8843:1
GP_Isolated_185	Contig:52:23.9763:1
GP_Isolated_186	Contig:53:27.6948:1
GP_Isolated_187	Contig:54:16.0177:1
GP_unb_5	Contig:61:40.7154:1
GP_Isolated_188	Contig:64:39.0352:1
GP_Isolated_189	Contig:67:24.1005:1
GP_Isolated_190	Contig:69:8.45714:1
GP_Isolated_191	Contig:6:10.9692:1
GP_Isolated_192	Contig:72:4.58476:1
GP_Isolated_193	Contig:75:36.0809:1
GP_Isolated_194	Contig:76:38.8627:1
GP_Isolated_195	Contig:77:43.8632:1
GP_Isolated_196	Contig:7:30.9871:1
GP_Isolated_197	Contig:80:20.6254:1
GP_Isolated_198	Contig:87:28.3843:1
GP_Isolated_199	Contig:89:20.6349:1
GP_Isolated_200	Contig:8:36.2435:1
GP_Isolated_201	Contig:91:6.67622:1
GP_Isolated_202	Contig:92:5.28157:1
GP_Isolated_203	Contig:96:27.8992:1
GP_Isolated_204	Contig:98:9.31899:1
GP_Isolated_205	Contig:9:36.6076:1
GP_unb_6	Contig:252:43.4126:5p:1:7:1
GP_unb_7	Contig:295:67.4184:5p:1:14:1
GP_unb_8	Contig:489:89.4724:3p:1:3:1
GP_unb_9	Contig:489:89.4724:3p:1:4:1
