plasmid	contigs
GP_1	Contig:16:243.243:1,Contig:18:149.741:1,Contig:19:50.0725:1,Contig:21:49.3677:1,Contig:22:52.4258:1,Contig:25:66.1109:1,Contig:27:115.679:1,Contig:34:62.235:1,Contig:35:59.3684:1,Contig:45:509.304:1,Contig:48:787.818:1,Contig:51:49.6561:1,Contig:72:71.2099:1,Contig:80:100.113:1,Contig:81:106.365:1,Contig:82:44.0482:1,Contig:84:53.4762:1,Contig:88:68.9226:1,Contig:16:243.243:5p:1:5:1,Contig:16:243.243:5p:1:7:1,Contig:25:66.1109:5p:1:9:1,Contig:25:66.1109:5p:1:15:1,Contig:41:55.9352:5p:1:3:1,Contig:47:147.256:3p:1:6:1
GP_0	Contig:1:325.611:Circ:1
GP_2	Contig:2:359.913:Circ:1
GP_Isolated_0	Contig:77:229.051:1
GP_unb_1	Contig:11:486.45:5p:1:13:1
GP_unb_2	Contig:11:486.45:5p:1:14:1
GP_unb_3	Contig:32:62.2747:5p:1:5:1
GP_unb_4	Contig:43:58.9656:5p:1:8:1
GP_unb_5	Contig:43:58.9656:5p:1:9:1
GP_unb_6	Contig:47:147.256:3p:1:4:1
GP_unb_7	Contig:64:450.288:3p:1:3:1
GP_unb_8	Contig:64:450.288:3p:1:4:1
GP_unb_9	Contig:64:450.288:3p:1:5:1
GP_unb_10	Contig:64:450.288:5p:1:2:1
GP_unb_11	Contig:64:450.288:5p:1:7:1
GP_unb_12	Contig:64:450.288:5p:1:9:1
GP_unb_13	Contig:64:450.288:5p:1:10:1
GP_unb_14	Contig:69:64.1642:3p:1:5:1
