plasmid	contigs	copy_number
PBF_P1	111:1	4.155670166740277
PBF_P5,PBF_P2,PBF_P11,PBF_P3	28:1,249:1,302:1,355:1	1.031937578063662
PBF_P4	34:1	1.5543413735295655
PBF_P6	342:1	1.1063699440083206
PBF_P7	652:1,647:1,643:1,222:1,335:1	0.8523035423404427
PBF_P8	276:1	1.4058803136293911
PBF_P9	214:1	1.106800278414207
PBF_P10	426:1	1.037104579540004
PBF_P12	268:1	1.047842254484321
PBF_P13	212:1	1.0977931014831384
PBF_P14	327:1	1.0055326808094336
PBF_P15	326:1	1.191758442680952
PBF_P16	175:1	0.8255519620833275
PBF_P17	283:1	1.1932591526687468
PBF_P18	216:1	0.8070519286570946
PBF_P19	112:1	0.9600982110207202
PBF_P20	322:1	0.8790028826929196
PBF_P21	137:1	0.7805354115317216
PBF_P22	410:1	0.932947707855457
PBF_P23	117:1	1.0956275199817636
PBF_P24	165:1	0.8803326257200796
PBF_P25	386:1	0.9159080007788496
PBF_P26	155:1	0.9841808070590359
PBF_P27	98:1	0.7263816267506304
PBF_P28	280:1	0.8836284887945405
PBF_P29	385:1	0.8484662838906382
PBF_P30	395:1	0.9066425413288883
PBF_P31	377:1	0.7287324224593598
PBF_P32	133:1	0.9527371335489416
PBF_P33	12:1	0.9657733642973495
PBF_P34	350:1	0.6504817943932335
PBF_P35	246:1	0.882113531560026
PBF_P36	72:1	0.9109404607559589
PBF_P37	49:1	0.9230506204675947
PBF_P38	284:1	0.8278505178874183
PBF_P39	243:1	0.8986973267416072
PBF_P40	317:1	0.7853604790874164
PBF_P41	56:1	0.8481053536404091
PBF_P42	361:1	0.7835368315073112
PBF_P43	306:1	0.7816324495291286
PBF_P44	384:1	0.556915376103568
PBF_P45	197:1	0.7627975893658552
PBF_P46	236:1	0.578623431021955
PBF_P47	234:1	0.8912697621184705
PBF_P48	409:1	0.5650742993916426
PBF_P49	200:1	0.6889446114538366
PBF_P50	418:1	0.50631865392013
PBF_P51	378:1	0.7484221174258074
PBF_P52	81:1	0.6104707765224371
PBF_P53	289:1	0.8015880931010082
PBF_P64,PBF_P54	304:1,668:1,393:1	0.5030417871748796
PBF_P55	406:1	0.5802143735723071
PBF_P56	362:1	0.8608233958787465
PBF_P57	259:1	0.6109076920885039
PBF_P58	415:1	0.8599020739242141
PBF_P59	356:1	0.4984541737309265
PBF_P60	348:1	0.5503901371060043
PBF_P61	407:1	0.525960858064179
PBF_P62	182:1	0.7304278448189887
PBF_P63	265:1	0.6645390778232108
PBF_P65	275:1	0.5793357933579336
PBF_P66	316:1	0.7495523989988935
PBF_P67	319:1	0.7224588848205085
PBF_P68	390:1	0.41502324675756413
PBF_P69	346:1	0.630483409081195
PBF_P70	118:1	0.5845312893283373
PBF_P71	241:1	0.7116974644649922
PBF_P72	174:1	0.6701050022083233
PBF_P73	357:1	0.5920965773364297
PBF_P74	367:1	0.7688811637151122
PBF_P75	354:1	0.4857551278215485
PBF_P76	372:1	0.7109186149776556
PBF_P77	308:1	0.692952836864276
PBF_P78	376:1	0.4916534879634511
PBF_P79	321:1	0.5190082016650283
PBF_P80	416:1	0.4697920376887167
PBF_P81	269:1	0.6624494816376736
PBF_P82	397:1	0.5541989010623698
PBF_P83	291:1	0.5307051912217964
PBF_P84	333:1	0.4683587646687278
PBF_P85	255:1	0.5516343966528469
PBF_P86	424:1	0.29566076355744253
PBF_P87	309:1	0.4103995402888392
PBF_P88	408:1	0.4177302236342827
PBF_P89	331:1	0.4907559114201181
PBF_P90	206:1	0.5633883751964933
PBF_P91	119:1	0.5910327829147017
PBF_P92	379:1	0.5868203469679485
PBF_P93	263:1	0.5602112391780288
PBF_P94	329:1	0.5537619854963028
PBF_P95	130:1	0.5378905526507003
PBF_P96	363:1	0.5467143474523549
PBF_P97	388:1	0.34836655316360116
PBF_P98	351:1	0.35037114077704484
PBF_P99	380:1	0.2845536100148646
PBF_P100	405:1	0.36725270341506505
PBF_P101	358:1	0.36112638732564933
