plasmid	contigs
GP_unb_10,GP_unb_30,GP_unb_16,GP_unb_26,GP_unb_3,GP_unb_11,GP_unb_18,GP_unb_38,GP_unb_25,GP_unb_8,GP_1,GP_unb_15,GP_unb_35,GP_unb_28,GP_unb_19,GP_unb_29,GP_unb_14,GP_5,GP_unb_27,GP_unb_17,GP_4,GP_unb_1,GP_unb_9,GP_unb_2,GP_unb_6,GP_0,GP_unb_13,GP_unb_7	197:1,266:1,217:1,254:1,175:1,198:1,219:1,291:1,250:1,191:1,139:1,149:1,152:1,249:1,251:1,270:1,216:1,285:1,264:1,223:1,265:1,213:1,87:1,150:1,151:1,156:1,167:1,248:1,260:1,218:1,161:1,168:1,178:1,116:1,192:1,174:1,186:1,63:1,103:1,110:1,124:1,125:1,133:1,140:1,154:1,160:1,172:1,184:1,232:1,279:1,212:1,187:1
GP_Isolated_0	104:1
GP_2	107:1
GP_3	114:1
GP_Isolated_1	115:1
GP_Isolated_2	120:1
GP_Isolated_3	122:1
GP_unb_23,GP_unb_34,GP_unb_32,GP_unb_22,GP_unb_4,GP_unb_31,GP_unb_33	245:1,281:1,278:1,240:1,176:1,277:1,280:1
GP_unb_5	177:1
GP_unb_36,GP_unb_21,GP_unb_20,GP_unb_37,GP_unb_12	287:1,237:1,236:1,288:1,208:1
GP_unb_24	246:1
