plasmid	contigs
GP_0	30:1,31:1,37:1,38:1,43:1,46:1,48:1,49:1,50:1,51:1,52:1,59:1,60:1,61:1,63:1,65:1,66:1,67:1,69:1,70:1,71:1,73:1,77:1,78:1,80:1,81:1,82:1,83:1,87:1,89:1,90:1,91:1,92:1,93:1,95:1,98:1,99:1,101:1,102:1,103:1,114:1,121:1,128:1,134:1,141:1,157:1,159:1,175:1,187:1,192:1,194:1,195:1,200:1,209:1,212:1
GP_2	32:1,84:1
GP_3	54:1
GP_4	57:1,96:1,100:1,151:1,158:1,181:1,203:1,210:1
GP_1	62:1,92:1,105:1,205:1
GP_5	64:1
GP_unb_1	110:1
GP_unb_2	111:1
GP_unb_3	116:1
GP_unb_4	118:1
GP_unb_5	119:1
GP_unb_6	122:1
GP_unb_7	123:1
GP_unb_8	125:1
GP_unb_9	126:1
GP_unb_10	127:1
GP_unb_11	130:1
GP_unb_12	132:1
GP_unb_13	133:1
GP_unb_14	135:1
GP_unb_15	136:1
GP_unb_16	142:1
GP_unb_17	148:1
GP_unb_18	150:1
GP_unb_19	169:1
GP_unb_20	170:1
GP_unb_21	172:1
GP_unb_22	177:1
GP_unb_23	179:1
GP_unb_24	184:1
GP_unb_25	190:1
GP_unb_26	191:1
GP_unb_27	208:1
