plasmid	contigs
GP_2	Contig:15:635.133:1,Contig:28:288.877:1,Contig:32:226.564:1,Contig:36:208.645:1,Contig:45:195.797:1,Contig:46:114.655:1,Contig:47:184.522:1,Contig:63:323.529:1
GP_0	Contig:1:3249.88:Circ:1
GP_unb_1	Contig:25:358.476:1
GP_1	Contig:2:1694.86:Circ:1
GP_3	Contig:38:281.239:1
GP_unb_2	Contig:41:326.901:1
GP_unb_3	Contig:59:254.002:1
GP_unb_4	Contig:11:89.8402:3p:1:11:1
GP_unb_5	Contig:31:92.1196:5p:1:5:1
GP_unb_6	Contig:31:92.1196:5p:1:19:1
GP_unb_7	Contig:31:92.1196:5p:1:25:1
GP_unb_8	Contig:31:92.1196:5p:1:27:1
GP_unb_9	Contig:32:226.564:3p:1:5:1
GP_unb_10	Contig:43:559.298:3p:1:2:1
GP_unb_11	Contig:43:559.298:3p:1:4:1
GP_unb_12	Contig:50:799.418:3p:1:5:1
GP_unb_13	Contig:50:799.418:3p:1:6:1
GP_unb_14	Contig:50:799.418:3p:1:10:1
GP_unb_15	Contig:50:799.418:5p:1:11:1
GP_unb_16	Contig:50:799.418:5p:1:13:1
GP_unb_17	Contig:50:799.418:5p:1:15:1
