plasmid	contigs
PBF_P1	124:1
PBF_P2	103:1
PBF_P3	116:1
PBF_P4	146:1,74:1,153:1,176:1,227:1,166:1,94:1,246:1,220:1,243:1,147:1,93:1,195:1,136:1,181:1,239:1,163:1,110:1,120:1,252:1,99:1,172:1,207:1,217:1,160:1,53:1,102:1,235:1,229:1,154:1,179:1,66:1,91:1,214:1,39:1,182:1,95:1,139:1,253:1,105:1,157:1,225:1,194:1,143:1,132:1,127:1,87:1,77:1,204:1,126:1,111:1,92:1,145:1,191:1,170:1,81:1,113:1,196:1,193:1,165:1,198:1,187:1,197:1,59:1,80:1,190:1
PBF_P5	146:1,74:1,153:1,176:1,227:1,166:1,220:1,93:1,136:1,181:1,239:1,163:1,110:1,120:1,236:1,172:1,217:1,160:1,102:1,229:1,154:1,214:1,39:1,182:1,139:1,206:1,105:1,157:1,250:1,225:1,127:1,143:1,104:1,194:1,87:1,204:1,145:1,170:1,92:1,191:1,167:1,142:1,81:1,196:1,221:1,198:1,187:1,197:1,59:1,133:1,80:1,207:1
PBF_P6	146:1,74:1,153:1,176:1,227:1,166:1,155:1,246:1,220:1,147:1,195:1,93:1,136:1,190:1,181:1,163:1,120:1,252:1,172:1,217:1,160:1,102:1,229:1,154:1,184:1,66:1,199:1,39:1,214:1,182:1,139:1,152:1,230:1,164:1,174:1,189:1,250:1,225:1,104:1,87:1,170:1,145:1,92:1,191:1,142:1,81:1,196:1,203:1,221:1,198:1,165:1,193:1,187:1,197:1,80:1,207:1
PBF_P7	146:1,120:1,182:1,196:1,225:1
PBF_P8	153:1,160:1,93:1
PBF_P9	104:1,191:1,142:1,154:1,196:1,225:1,133:1
PBF_P10	153:1,160:1,84:1,101:1,186:1
PBF_P11	146:1,153:1,227:1,166:1,155:1,246:1,220:1,136:1,119:1,181:1,239:1,163:1,252:1,236:1,172:1,112:1,217:1,160:1,102:1,229:1,141:1,184:1,168:1,210:1,199:1,39:1,182:1,206:1,139:1,152:1,148:1,230:1,164:1,189:1,250:1,90:1,225:1,202:1,194:1,75:1,204:1,145:1,161:1,81:1,196:1,203:1,51:1,197:1,80:1
PBF_P12	90:1
