plasmid	contigs
MOB_AB114,MOB_AE271,MOB_AE272,MOB_AC237	Contig:103:42.1183:1,Contig:108:125.542:1,Contig:162:74.8971:1,Contig:24:28.4241:1,Contig:48:1191.03:1,Contig:67:26.318:1,Contig:130:15.2949:1,Contig:143:48.0968:1,Contig:168:40.1147:1,Contig:170:29.1915:1,Contig:193:16.6525:1,Contig:26:32.0735:1,Contig:27:39.325:1,Contig:92:41.5786:1,Contig:98:24.8572:1,Contig:100:31.7819:1,Contig:111:33.1307:1,Contig:123:34.3801:1,Contig:129:35.6736:1,Contig:136:45.0109:1,Contig:14:30.7695:1,Contig:182:39.3208:1,Contig:35:13.2914:1,Contig:84:13.7938:1,Contig:32:62.8296:1,Contig:46:58.1409:1
MOB_AC163	Contig:102:792.365:1,Contig:79:1141.65:1
MOB_novel_a8cb680d7f1f39b7c81ff0ee1d6b958c	Contig:144:38.8192:1,Contig:146:51.8709:1,Contig:166:44.5402:1,Contig:87:43.8743:1
