plasmid	contigs	copy_number
PBF_P1	Contig:92:89.8176:1	1.8091154919292367
PBF_P2	Contig:21:77.1323:1	1.6045780851382458
PBF_P3	Contig:537:51.0194:1	1.0673381637546704
PBF_P4	Contig:244:59.8018:1	1.1399678200907604
PBF_P5	Contig:530:59.0622:1	1.1674939756232332
PBF_P6	Contig:620:35.2236:1	0.7834580324242932
PBF_P7	Contig:586:52.2292:1	1.0071178178598765
PBF_P8	Contig:491:50.9043:1	1.1038578630718399
PBF_P9	Contig:465:44.5251:1	0.9957583896593469
PBF_P10	Contig:280:42.5206:1	0.9361852936964575
PBF_P11	Contig:3:39.8544:1	0.8751324485747838
PBF_P12	Contig:29:27.5234:1	0.5753558256957659
PBF_P13	Contig:512:40.0415:1	0.8815603808816311
PBF_P14	Contig:118:37.3306:1	0.7846292292951366
PBF_P15	Contig:558:35.6285:1	0.7465408556345343
PBF_P16	Contig:467:26.9971:1	0.5917991769049948
PBF_P17	Contig:58:7.903:1	0.16566924202882366
PBF_P18	Contig:375:6.88209:1	0.13419614894857781
PBF_P19	Contig:395:7.48824:1	0.15292550218335257
