plasmid	contigs
GP_5	2:1,76:1,360:1,377:1
GP_1	96:1,143:1,182:1,250:1,284:1,297:1,315:1,334:1,349:1,356:1
GP_0	127:1,184:1,331:1
GP_Isolated_0	128:1
GP_Isolated_1	139:1
GP_Isolated_2	147:1
GP_3	151:1,176:1,186:1,319:1
GP_Isolated_3	153:1
GP_Isolated_4	160:1
GP_Isolated_5	174:1
GP_Isolated_6	189:1
GP_2	192:1,215:1,252:1,273:1,304:1,307:1,312:1,330:1,334:1,342:1,372:1
GP_4	194:1,293:1,301:1,329:1,351:1,375:1,376:1
GP_Isolated_7	195:1
GP_Isolated_8	201:1
GP_Isolated_9	234:1
GP_Isolated_10	244:1
GP_Isolated_11	249:1
GP_Isolated_12	251:1
GP_Isolated_13	261:1
GP_Isolated_14	266:1
GP_Isolated_15	268:1
GP_Isolated_16	271:1
GP_Isolated_17	290:1
GP_Isolated_18	292:1
GP_Isolated_19	294:1
GP_Isolated_20	300:1
GP_6	308:1,326:1,332:1,344:1
GP_Isolated_21	311:1
GP_Isolated_22	323:1
GP_Isolated_23	327:1
GP_unb_1	345:1
GP_unb_2	348:1
GP_unb_3	352:1
GP_unb_4	358:1
GP_unb_5	359:1
GP_unb_6	363:1
GP_unb_7	368:1
GP_unb_8	378:1
GP_unb_9	382:1
GP_unb_10	383:1
GP_unb_11	387:1
