plasmid	contigs	copy_number
PBF_P1	136:1	1.617048158614932
PBF_P2	333:1,156:1,308:1,262:1,325:1	0.6615012344356196
PBF_P3	138:1	0.9624088682926393
PBF_P4	95:1	0.6137935345039265
PBF_P5	152:1	0.5491876833237346
PBF_P6	181:1	0.7099500421895718
PBF_P7	160:1	0.5363522315828009
PBF_P8	142:1	0.5543709735745951
PBF_P9	241:1	0.5867430989914683
PBF_P10	135:1	0.29076606440494845
PBF_P11	215:1	0.5996812343463295
PBF_P12	188:1	0.28435146368794895
PBF_P13	177:1	0.25673135734344094
PBF_P14	222:1	0.25449374746081277
