plasmid	contigs
GP_unb_1	89:1
GP_Isolated_0	95:1
GP_Isolated_1	135:1
GP_0	136:1
GP_Isolated_2	138:1
GP_Isolated_3	142:1
GP_Isolated_4	152:1
GP_unb_3,GP_unb_11,GP_unb_12,GP_1,GP_unb_6,GP_unb_8,GP_unb_5	276:1,333:1,334:1,156:1,237:1,242:1,304:1,325:1,309:1,315:1,308:1
GP_Isolated_5	160:1
GP_Isolated_6	177:1
GP_Isolated_7	181:1
GP_Isolated_8	188:1
GP_Isolated_9	190:1
GP_Isolated_10	205:1
GP_Isolated_11	206:1
GP_Isolated_12	215:1
GP_Isolated_13	218:1
GP_Isolated_14	222:1
GP_Isolated_15	241:1
GP_Isolated_16	249:1
GP_Isolated_17	269:1
GP_2,GP_unb_10,GP_unb_2,GP_unb_4	283:1,301:1,305:1,330:1,272:1,278:1
GP_Isolated_18	274:1
GP_Isolated_19	275:1
GP_Isolated_20	279:1
GP_Isolated_21	280:1
GP_Isolated_22	282:1
GP_Isolated_23	286:1
GP_Isolated_24	288:1
GP_Isolated_25	295:1
GP_unb_9,GP_unb_7	323:1,313:1
