plasmid	contigs	copy_number
PBF_P1	110:1	26.076827712380542
PBF_P2	15:1	24.967092493030865
PBF_P6,PBF_P3	22:1,116:1	13.595768119464992
PBF_P43,PBF_P4	252:1,117:1,138:1	0.7813266136527091
PBF_P5	12:1	15.861549987835941
PBF_P7	136:1	13.21862738017862
PBF_P8	175:1	8.19858693820563
PBF_P9	14:1	8.12394408936796
PBF_P10	162:1	7.322344190077274
PBF_P11	63:1	6.654389639151682
PBF_P12	13:1	5.389576594687768
PBF_P13	99:1	5.188759298042897
PBF_P14	151:1	4.643478731855276
PBF_P15,PBF_P44	106:1,109:1	0.9975867215525795
PBF_P16	133:1	4.408222246075734
PBF_P17	61:1	4.34523211820196
PBF_P18	169:1	4.247255723261357
PBF_P19	86:1	3.6742134276979375
PBF_P20	132:1	3.1051019635387167
PBF_P21	60:1	3.08373654943309
PBF_P22	69:1	3.060650923184324
PBF_P23	163:1	2.864001829517826
PBF_P24	141:1	2.6496413182157386
PBF_P25	92:1	2.626712163886281
PBF_P26	114:1	2.5835740593630394
PBF_P27	155:1	2.431904624347031
PBF_P28	72:1	2.3169621460583834
PBF_P29	1:1	2.2679039984593534
PBF_P30	152:1	2.255849642521846
PBF_P31	25:1	2.2434281793890376
PBF_P32	7:1	2.1300522375484463
PBF_P33	16:1	2.123913723790954
PBF_P34	137:1	1.9480913473226646
PBF_P35	179:1	1.7767687345032621
PBF_P46,PBF_P45,PBF_P36	172:1,31:1,88:1	0.3921330733501236
PBF_P37	37:1	1.712880046219398
PBF_P38	9:1	1.689818492573602
PBF_P39	180:1	1.5893334296237451
PBF_P40	64:1	1.6550456175826294
PBF_P41	8:1	1.6842817938903736
PBF_P42	52:1	1.6024168893382442
PBF_P47	10:1	0.2590031535109892
PBF_P48	43:1	0.2524391564959919
PBF_P49	27:1	0.2813852579379409
PBF_P50	21:1	0.28613237524373514
PBF_P51	112:1	0.26043366794251466
PBF_P52	33:1	0.2844575238920585
PBF_P53	93:1	0.26630798488240537
PBF_P54	105:1	0.2702998242699983
