plasmid	contigs
PBF_P1	69:1
PBF_P2	62:1
PBF_P3	58:1
PBF_P4	26:1,57:1,196:1,118:1,86:1,35:1,159:1,191:1,113:1,109:1,181:1,75:1,39:1,215:1,49:1,252:1,163:1,54:1,202:1,47:1,31:1,185:1,40:1,93:1,99:1,87:1,24:1,92:1,28:1,133:1,32:1,88:1,98:1,179:1,42:1,131:1,55:1,194:1,82:1,280:1,269:1,52:1,48:1,177:1,89:1,33:1,56:1,38:1,53:1
PBF_P5	57:1,196:1,118:1,86:1,45:1,237:1,113:1,75:1,37:1,181:1,292:1,39:1,215:1,141:1,36:1,163:1,54:1,202:1,47:1,51:1,40:1,31:1,99:1,87:1,24:1,92:1,133:1,32:1,98:1,218:1,131:1,282:1,55:1,194:1,280:1,82:1,251:1,206:1,276:1,48:1,177:1,89:1,38:1
PBF_P6	196:1,118:1,86:1,45:1,35:1,191:1,159:1,113:1,109:1,181:1,39:1,36:1,215:1,60:1,34:1,252:1,163:1,54:1,202:1,47:1,40:1,31:1,185:1,99:1,87:1,24:1,133:1,88:1,98:1,218:1,131:1,55:1,194:1,280:1,52:1,48:1,177:1,89:1,33:1,38:1,53:1
PBF_P7	99:1,71:1
PBF_P8	131:1,64:1,133:1,215:1
PBF_P9	179:1,65:1,113:1,93:1,269:1,80:1
PBF_P10	45:1
PBF_P11	46:1,110:1
PBF_P12	36:1,99:1
PBF_P13	50:1
PBF_P14	59:1
PBF_P15	53:1
PBF_P16	66:1
PBF_P17	44:1
